,0
1162,"MUG6105, Graduate Conducting"
1163,"MUG6227, Advanced Choral Rehearsal Techniques"
1164,"MUG7106, Advanced Graduate Conducting"
1165,"MUH2501, Introduction to World Musics"
1166,"MUH3025, Popular Music in the USA: From Ragtime to Hip-Hop and Beyond"
1167,"MUH3211, Music History Survey 1"
1168,"MUH3212, Music History Survey 2"
1169,"MUH3213, Music History Survey 3"
1170,"MUH3530, Popular and Traditional Musics of Africa"
1171,"MUH3541, Latin American Music"
1172,"MUH4016, History of Jazz"
1173,"MUH4930, Special Topics in Music History"
1174,"MUH5219, Graduate Music History Review"
1175,"MUH5505, Introduction to Ethnomusicology"
1176,"MUH5684, Introduction to Historical Musicology"
1177,"MUH6515, Musics of the World"
1178,"MUH6526, American Vernacular Music"
1179,"MUH6635, Seminar in American Music"
1180,"MUH6665, History of Opera"
1181,"MUH6673, Seminar in Classical Music"
1182,"MUH6675, Seminar in Twentieth-Century Music"
1183,"MUH6935, Special Topics in Music History"
1184,"MUH7411, Medieval and Renaissance Notation"
1185,"MUH7938, Musicology Seminar"
1186,"MUL2010, Experiencing Music"
1187,"MUL4441, Woodwind Literature Seminar"
1188,"MUL4602, Song Literature Seminar"
1189,"MUL6486, Piano Literature"
1190,"MUL6495, Graduate Organ Literature"
1191,"MUL6645, Choral Literature"
1192,"MUM4005, Found Music Business"
1193,"MUM4051, Music Entrepreneurship Dev"
1194,"MUM6007, Strategic Music Entrepreneurship Development"
1195,"MUM6008, Foundations of Music Business"
1196,"MUM6501, Music Production in Commercial Media"
1197,"MUN1110, Marching Band"
1198,"MUN1120, Concert Band"
1199,"MUN1130, Symphonic Band"
1200,"MUN1140, Wind Symphony"
1201,"MUN1210, University Orchestra"
1202,"MUN1310, University Choir"
1203,"MUN1320, Women's Chorale"
1204,"MUN1330, Men's Glee Club"
1205,"MUN1440, Percussion Ensemble"
1206,"MUN1460, Chamber Music Ensemble"
1207,"MUN1491, Steel Drum Ensemble"
1208,"MUN1710, Jazz Bands"
1209,"MUN1810, Steel Drum Ensemble"
1210,"MUN2800, World Music Ensemble"
1211,"MUN3113, Marching Band"
1212,"MUN3123, Concert Band"
1213,"MUN3133, Symphonic Band"
1214,"MUN3143, Wind Symphony"
1215,"MUN3213, University Orchestra"
1216,"MUN3313, University Choir"
1217,"MUN3323, Women's Chorale"
1218,"MUN3333, Men's Glee Club"
1219,"MUN3343, University Chamber Singers"
1220,"MUN3443, Percussion Ensemble"
1221,"MUN3463, Chamber Music"
1222,"MUN3493, New Music Ensemble"
1223,"MUN3713, Jazz Bands"
1224,"MUN3714, Jazz Chamber Music 1"
1225,"MUN3813, Steel Drum Ensemble"
1226,"MUN4642, Musical Theatre Instrumental Ensemble"
1227,"MUN6010, Graduate Ensemble"
1228,"MUN6145, Symphonic Wind Ensemble"
1229,"MUN6215, University Orchestra"
1230,"MUN6315, University Choir"
1231,"MUN6325, Women's Chorale"
1232,"MUN6335, Men's Glee Club"
1233,"MUN6496, World Music Ensemble"
1234,"MUN6497, New Music Ensemble"
1235,"MUN6715, Jazz Band"
1236,"MUO3503, Opera Workshop"
1237,"MUR3104, Music and the Catholic Church"
1238,"MUR6206, Survey of Hymnody"
1239,"MUR6705, Sacred Music Literature"
1240,"MUS1360, Introduction to Music Technology"
1241,"MUS2211, English Diction"
1242,"MUS2221, French Diction"
1243,"MUS2231, German Diction"
1244,"MUS2241, Italian Diction"
1245,"MUS4905, Projects and Problems in Music"
1246,"MUS6685, Psychology of Music"
1247,"MUS6716, Methods of Musical Research and Bibliography"
1248,"MUS6905, Projects and Problems"
1249,"MUS7955, Preparation for Doctoral Project"
1250,"MUS7979, Advanced Research"
1251,"MUT1111, Music Theory 1"
1252,"MUT1112, Music Theory 2"
1253,"MUT1214, Jazz Aural Skills 1"
1254,"MUT1241L, Aural Skills 1"
1255,"MUT1242L, Aural Skills 2"
1256,"MUT1361, Jazz Fundamentals 1"
1257,"MUT1362, Jazz Fundamentals 2"
1258,"MUT2116, Music Theory 3"
1259,"MUT2117, Music Theory 4"
1260,"MUT2246L, Aural Skills 3"
1261,"MUT2247L, Aural Skills 4"
1262,"MUT2641, Jazz Improvisation"
1263,"MUT3321, Arranging for Voices and Instruments"
1264,"MUT3611, Form and Analysis 1"
1265,"MUT3612, Form and Analysis 2"
1266,"MUT4365, Jazz Arranging 1"
1267,"MUT4366, Jazz Arranging 2"
1268,"MUT4401, Counterpoint 1"
1269,"MUT4402, Counterpoint 2"
1270,"MUT4663, Advanced Jazz Musicianship"
1271,"MUT6051, Graduate Music Theory Review"
1272,"MUT6177, Graduate Jazz Theory"
1273,"MUT6445, Advanced Counterpoint"
1274,"MUT6531, Figured Bass and Continuo Performance"
1275,"MUT6617, Approaches to Theoretical Analysis in Music Education"
1276,"MUT6629, Analytical Techniques"
1277,"MUT6751, Pedagogy of Music Theory"
1278,"MUT6936, Music Theory Seminar"
1279,"MVB1411, Trumpet"
1280,"MVB1412, French Horn"
1281,"MVB1413, Trombone"
1282,"MVB1414, Euphonium"
1283,"MVB1415, Tuba"
1284,"MVB2421, Trumpet"
1285,"MVB2422, French Horn"
1286,"MVB2423, Trombone"
1287,"MVB2424, Euphonium"
1288,"MVB2425, Tuba"
1289,"MVB3431, Trumpet"
1290,"MVB3432, French Horn"
1291,"MVB3433, Trombone"
1292,"MVB3434, Euphonium"
1293,"MVB3435, Tuba"
1294,"MVB4442, French Horn"
1295,"MVB4443, Trombone"
1296,"MVB4444, Euphonium"
1297,"MVK1411, Piano"
1298,"MVK1413, Organ"
1299,"MVK1415, Carillon"
1300,"MVK2421, Piano"
1301,"MVK2423, Organ"
1302,"MVK2425, Carillon"
1303,"MVK3431, Piano"
1304,"MVK3435, Carillon"
1305,"MVK3702, Accompanying"
1306,"MVK4441, Piano"
1307,"MVO6250, Secondary Music Performance"
1308,"MVO6460, Music Performance"
1309,"MVO7460, Music Performance"
1310,"MVP1411, Percussion"
1311,"MVP2421, Percussion"
1312,"MVP3431, Percussion"
1313,"MVP3970, Junior Recital"
1314,"MVP4441, Percussion"
1315,"MVS1116, Class Guitar"
1316,"MVS1411, Violin"
1317,"MVS1412, Viola"
1318,"MVS1413, Cello"
1319,"MVS1414, String Bass"
1320,"MVS1416, Guitar"
1321,"MVS2421, Violin"
1322,"MVS2422, Viola"
1323,"MVS2423, Cello"
1324,"MVS2424, String Bass"
1325,"MVS2426, Guitar"
1326,"MVS3431, Violin"
1327,"MVS3432, Viola"
1328,"MVS3433, Cello"
1329,"MVS3434, String Bass"
1330,"MVS3436, Guitar"
1331,"MVS4441, Violin"
1332,"MVS4442, Viola"
1333,"MVS4444, String Bass"
1334,"MVS4446, Guitar"
1335,"MVS4640, String Instrument Pedagogy"
1336,"MVV1411, Voice"
1337,"MVV2421, Voice"
1338,"MVV3431, Voice"
1339,"MVV4441, Voice"
1340,"MVV4640, Vocal Pedagogy"
1341,"MVW1411, Flute"
1342,"MVW1412, Oboe"
1343,"MVW1413, Clarinet"
1344,"MVW1414, Bassoon"
1345,"MVW1415, Saxophone"
1346,"MVW2421, Flute"
1347,"MVW2422, Oboe"
1348,"MVW2423, Clarinet"
1349,"MVW2424, Bassoon"
1350,"MVW2425, Saxophone"
1351,"MVW3431, Flute"
1352,"MVW3432, Oboe"
1353,"MVW3433, Clarinet"
1354,"MVW3434, Bassoon"
1355,"MVW3435, Saxophone"
1356,"MVW4441, Flute"
1357,"MVW4442, Oboe"
1358,"MVW4443, Clarinet"
1359,"MVW4444, Bassoon"
1360,"DAA1000, Fundamentals of Dance Technique"
1361,"DAA2104, Basic Modern Dance"
1362,"DAA2104, Contemporary Dance Practices 1"
1363,"DAA2105, Contemporary Dance Practices 2"
1364,"DAA2204, Basic Ballet"
1365,"DAA2204, Contemporary Ballet Practices 1"
1366,"DAA2205, Contemporary Ballet Practices 2"
1367,"DAA2331, West African Dance and Music"
1368,"DAA2341, Contemporary African & African Diasporic Dance Practices 1"
1369,"DAA2342, Contemporary African & African Diasporic Dance Practices 2"
1370,"DAA2381, World Dance and Intercultural Performance"
1371,"DAA2504, Basic Jazz"
1372,"DAA2520L, Tap 1"
1373,"DAA2580L, Broadway Dance Styles 1"
1374,"DAA2610, Dance Composition 1"
1375,"DAA2611, Dance Composition 2"
1376,"DAA2621, Dance Improvisation"
1377,"DAA2680, First Year Dance Ensemble"
1378,"DAA2710, Somatics 1"
1379,"DAA2711, Somatics 2"
1380,"DAA3108, Contemporary Dance Practices 3"
1381,"DAA3108, Intermediate Modern Dance"
1382,"DAA3208, Contemporary Ballet Practices 3"
1383,"DAA3208, Intermediate Ballet"
1384,"DAA3224, Pointe"
1385,"DAA3508, Intermediate Jazz"
1386,"DAA3614, Dance Composition 3"
1387,"DAA3615, Dance Composition 4"
1388,"DAA4110, Advanced Modern Dance"
1389,"DAA4110, Contemporary Dance Practices 4"
1390,"DAA4210, Advanced Ballet"
1391,"DAA4210, Contemporary Ballet Practices 4"
1392,"DAA4685, Dance Ensemble"
1393,"DAA4755, Pilates Technique for the Dancer"
1394,"DAA4920, Summer Dance Intensive"
1395,"DAA4930, Special Topics in Dance"
1396,"DAE4300, Dance Teaching Methods"
1397,"DAN2100, Dance Appreciation for the Twenty-first Century"
1398,"DAN2930, First Year Seminar"
1399,"DAN3775, Dance in Medicine"
1400,"DAN4124, Dance History"
1401,"DAN4180, Professional Development for Dance"
1402,"DAN4434, Laban Move Analysis"
1403,"DAN4860L, Dance Clinical Practice"
1404,"DAN4905, Individual Study"
1405,"DAN4959, Senior Project"
1406,"HUM3599, Applied Theater for Health: Theory & Practice"
1407,"THE2000, Theatre Appreciation"
1408,"THE3173, Contemporary European Theatre"
1409,"THE3231, African American Theatre History and Practice"
1410,"THE3234, Diversity and Multiculturalism in American Theatre"
1411,"THE4110, History of Theatre on Stage 1"
1412,"THE4111, History of Theatre on Stage 2"
1413,"THE4260, Historic Costume for the Stage"
1414,"THE4285, History of Decor and Architecture for the Stage"
1415,"THE4481, Production Dramaturgy"
1416,"THE4905, Individual Study"
1417,"THE4930, Special Topics in Theatre"
1418,"THE4945, Summer Repertory Theatre"
1419,"THE4950, Production and Performance"
1420,"THE4970, Senior Project"
1421,"THE5287, History of Decor and Architecture for the Stage"
1422,"THE6265, Costume History"
1423,"THE6525, History, Literature, and Criticism I"
1424,"THE6526, History, Literature, and Criticism II"
1425,"THE6905, Individual Study"
1426,"THE6941, Internship"
1427,"THE6950, Applied Theatre"
1428,"THE6955, Summer Repertory Theatre"
1429,"THE6973C, Project in Lieu of Thesis"
1430,"TPA2074, Drawing and Rendering"
1431,"TPA2120C, Beginning Makeup"
1432,"TPA2202C, Stagecraft"
1433,"TPA2232C, Beginning Costume"
1434,"TPA3208, Drawing/Drafting for the Stage"
1435,"TPA3217, Introduction to Lighting and Sound"
1436,"TPA3238, Advanced Costume Construction"
1437,"TPA3504, Arts Administration"
1438,"TPA4021, Lighting Design 2"
1439,"TPA4076, Advanced Theatre Graphics"
1440,"TPA4239, Costume Patterning"
1441,"TPA4240, Costume Patterning: Draping"
1442,"TPA4521, PRODUCING FOR REGIONAL THEATRE"
1443,"TPA4601, Stage and Theatre Management"
1444,"TPA4930, Special Topics in Theatre Production"
1445,"TPA4931, Advanced Stage Management Seminar"
1446,"TPA5025, Lighting Design I"
1447,"TPA5047, Costume Design I"
1448,"TPA5067, Scene Design I"
1449,"TPA5079, Graduate Scene Painting"
1450,"TPA5082, Advanced Theatre Graphics"
1451,"TPA6009, Design Studio"
1452,"TPA6026, Lighting Design II"
1453,"TPA6054, Detail Design for Costume Designers"
1454,"TPA6069, Scene Design II"
1455,"TPA6235, Costume Construction"
1456,"TPA6243, Pattern Making: Draping"
1457,"TPA6258, Computer Drafting 2D"
1458,"TPA6930, Special Topics"
1459,"TPP2110, Acting 1: Instrument and Discipline"
1460,"TPP2250, Song and Dance for the Theatre"
1461,"TPP2260, Acting for the Camera"
1462,"TPP2282, Movement Training for the Actor 1"
1463,"TPP3103, Acting 2: Analysis and Application"
1464,"TPP3113, Acting 3"
1465,"TPP3251, Fundamentals of Music Theatre Acting"
1466,"TPP3252, Music Theatre Acting Styles"
1467,"TPP3253, Advanced Studies in Music Theatre Acting"
1468,"TPP3283, Movement Training for the Actor 2"
1469,"TPP3311, Directing"
1470,"TPP3650, Script Analysis"
1471,"TPP4114, Acting 4"
1472,"TPP4140, Acting: Shakespeare and Period Styles"
1473,"TPP4144, Acting Style: 18th Century to Post Modernism"
1474,"TPP4221, Acting: Audition Workshop and Synthesis"
1475,"TPP4287, Voice, Speech and Body Training for the Actor 1"
1476,"TPP4288, Voice, Speech, and Body Training for the Actor 2"
1477,"TPP4531, Stage Combat: Unarmed and Light Weaponry"
1478,"TPP4600, Playwriting Workshop"
1479,"TPP4930, Special Topics in Theatre Performance"
1480,"TPP6115, Graduate Acting I: Modern Acting Theory and Practice"
1481,"TPP6116, Graduate Acting II: Shakespeare and High Style"
1482,"TPP6145, Graduate Acting III: Period Styles"
1483,"TPP6149, Acting IV: Contemporary Realism"
1484,"TPP6266, Acting for the Camera"
1485,"TPP6285, Voice and Movement I"
1486,"TPP6286, MFA Voice and Speech II: Shakespeare and High Styles"
1487,"TPP6385, Directing"
1488,"TPP6515, Graduate Movement Training"
1489,"TPP6536, Graduate Stage Combat"
1490,"TPP6717, MFA Voice and Speech III: Period Styles"
1491,"TPP6718, MFA Voice and Speech IV: Advanced Vocal Training for the Actor"
1492,"TPP6930, Special Topics"
1493,"BTE7171, Preparing to Teach in Business"
1494,"GEB2015, Introduction to Business"
1495,"GEB3017, Leading Organizations"
1496,"GEB3035, Effective Career Management in Business"
1497,"GEB3213, Professional Writing in Business"
1498,"GEB3218, Professional Speaking in Business"
1499,"GEB3219, Writing and Speaking in Business"
1500,"GEB3373, International Business"
1501,"GEB3523, Business Case Analysis"
1502,"GEB4930, Special Topics"
1503,"GEB4932, Professional Development Module"
1504,"GEB5212, Professional Writing in Business"
1505,"GEB5215, Professional Communication in Business"
1506,"GEB6229, Professional Communication for Accountants"
1507,"GEB6365, International Business"
1508,"GEB6930, Special Topics"
1509,"FIN3124, Introduction to Financial Planning & Wealth Management"
1510,"FIN3403, Business Finance"
1511,"FIN4243, Debt and Money Markets"
1512,"FIN4414, Financial Management"
1513,"FIN4504, Equity and Capital Markets"
1514,"FIN4934, Special Topics"
1515,"FIN5405, Business Financial Management"
1516,"FIN5437, Finance I: Asset Valuation, Risk, and Return"
1517,"FIN5439, Finance II: Capital Structure and Risk Management Issues"
1518,"FIN6296, Capitalism"
1519,"FIN6425, Corporation Finance"
1520,"FIN6427, Measuring and Managing Value"
1521,"FIN6429, Financial Decision Making"
1522,"FIN6432, Asset Valuation and Corporate Finance"
1523,"FIN6438, Study in Valuation"
1524,"FIN6465, Financial Statement Analysis"
1525,"FIN6496, Mergers & Acquisitions"
1526,"FIN6525, Asset Management Project"
1527,"FIN6528, Asset Allocation and Investment Strategy"
1528,"FIN6537, Derivative Securities"
1529,"FIN6545, Fixed Income Security Valuation"
1530,"FIN6547, Interest Rate Risk Management"
1531,"FIN6549, Special Topics in Fixed Income Securities"
1532,"FIN6575, Emerging Markets Finance I"
1533,"FIN6626, International Finance"
1534,"FIN6638, International Finance"
1535,"FIN6728, Capitalism and Regulation"
1536,"FIN6729, Economics Organizations and Markets"
1537,"FIN6785, Investment Banking and Corporate Financial Modeling I"
1538,"FIN6786, Investment Banking and Corporate Financial Modeling II"
1539,"FIN6930, Special Topics in Finance"
1540,"FIN6936, Special Topics In Investment Finance"
1541,"FIN7009, Corporate Finance"
1542,"FIN7447, Financial Theory II"
1543,"FIN7808, Corporate Finance"
1544,"FIN7931, Intl Bus and Fin"
1545,"FIN7938, Finance Research Workshop"
1546,"FIN7979, Advanced Research"
1547,"GEB5114, Entrepreneurship and Venture Finance"
1548,"GEB6366, Fundamentals of International Business"
1549,"REE3043, Real Estate Analysis"
1550,"REE4303, Real Estate Investment Decision Making"
1551,"REE6007, Fundamentals of Real Estate Development"
1552,"REE6045, Introduction to Real Estate"
1553,"REE6058, Real Estate Research and Technology"
1554,"REE6105, Real Estate Appraisal"
1555,"REE6206, Primary Mortgage Markets and Institutions"
1556,"REE6208, Secondary Mortgage Markets and Securitization"
1557,"REE6315, Real Estate Market and Transaction Analysis"
1558,"REE6395, Investment Property Analysis"
1559,"REE6737, Real Estate Development"
1560,"REE6930, Special Topics in Real Estate"
1561,"REE6935, Real Estate Case Studies"
1562,"REE6948, Capstone Seminar and Applied Project"
1563,"ACG2021, Introduction to Financial Accounting"
1564,"ACG2071, Introduction to Managerial Accounting"
1565,"ACG3101, Financial Accounting and Reporting 1"
1566,"ACG3401, Business Processes and Accounting Information System"
1567,"ACG4111, Financial Accounting and Reporting 2"
1568,"ACG4341, Cost and Managerial Accounting"
1569,"ACG4632, Introduction to Auditing"
1570,"ACG5005, Financial Accounting"
1571,"ACG5065, Financial and Managerial Accounting"
1572,"ACG5075, Managerial Accounting"
1573,"ACG5226, Advanced Accounting"
1574,"ACG5505, Governmental Accounting"
1575,"ACG5637, Auditing I"
1576,"ACG5647, Auditing II"
1577,"ACG5815, Accounting Regulation"
1578,"ACG6107, Accounting for Income Taxes"
1579,"ACG6136, Accounting Theory"
1580,"ACG6175, Financial Reporting and Analysis"
1581,"ACG6207, Accounting for Risk"
1582,"ACG6635, Issues in Audit Practice"
1583,"ACG6685, Forensic Accounting"
1584,"ACG6691, International Auditing"
1585,"ACG6697, Information Systems Assurance"
1586,"ACG6935, Special Topics in Accounting"
1587,"ACG7399, Accounting Research and Analysis"
1588,"ACG7848, Data Analysis Skills"
1589,"ACG7849, Web Crawling and Textual Analysis"
1590,"ACG7886, Accounting Research II"
1591,"ACG7939, Theoretical Constructs in Accounting"
1592,"TAX4001, Introduction to Federal Income Tax"
1593,"TAX5025, Federal Income Tax 1"
1594,"TAX5027, Federal Income Tax 2"
1595,"TAX5065, Tax Professional Research"
1596,"TAX6105, Corporate Taxation"
1597,"TAX6115, Advanced Corporate Taxation"
1598,"TAX6205, Partnership Taxation"
1599,"TAX6526, International Taxation"
1600,"TAX6877, State and Local Taxation"
1601,"ISM3004, Computing in the Business Environment"
1602,"ISM3013, Introduction to Information Systems"
1603,"ISM3254, Business Systems 1"
1604,"ISM3255, Business Systems 2"
1605,"ISM4113, Business Systems Design and Applications"
1606,"ISM4210, Database Management"
1607,"ISM4220, Business Data Communications 1"
1608,"ISM6128, Advanced Business Systems Design and Development I"
1609,"ISM6129, Advanced Business Systems Design and Development II"
1610,"ISM6215, Business Database Systems I"
1611,"ISM6216, Business Database Systems II"
1612,"ISM6222, Business Telecom Strategy and Applications I"
1613,"ISM6223, Business Telecom Strategy and Applications II"
1614,"ISM6236, Business Objects I"
1615,"ISM6251, Programming for Business Analytics"
1616,"ISM6257, Intermediate Business Programming"
1617,"ISM6258, Advanced Business Programming"
1618,"ISM6259, Business Programming"
1619,"ISM6405, Business Intelligence"
1620,"ISM6413, Introduction to Python"
1621,"ISM6423, Data Analysis for Decision Support"
1622,"ISM6485, Electronic Commerce and Logistics"
1623,"ISM6562, Business Data Presentation and Visualization"
1624,"MAN4504, Operations and Supply Chain Management"
1625,"MAN5501, Management"
1626,"MAN5502, Production and Operations Management"
1627,"MAN6511, Contemporary Issues in Supply Chain Analytics"
1628,"MAN6511, Production Management Problems"
1629,"MAN6528, Principles of Logistics/Transportation Systems"
1630,"MAN6573, Purchasing and Materials Management"
1631,"MAN6581, Project Management"
1632,"MAN6617, International Operations/Logistics"
1633,"MAN6619, International Logistics"
1634,"QMB3250, Statistics for Business Decisions"
1635,"QMB3302, Foundations of Business Analytics & Artificial Intelligence (AI)"
1636,"QMB4701, Managerial Operations Analysis 1"
1637,"QMB4930, Special Topics in Operations Analysis/Quantitative Methods"
1638,"QMB5303, Managerial Statistics"
1639,"QMB5304, Introduction to Managerial Statistics"
1640,"QMB5305, Advanced Managerial Statistics"
1641,"QMB6358, Statistical Analysis for Managerial Decisions I"
1642,"QMB6616, Business Process Analysis"
1643,"QMB6755, Managerial Quantitative Analysis I"
1644,"QMB6756, Managerial Quantitative Analysis II"
1645,"QMB6845, Supply Chain Analytics: Gaming the Supply Chain"
1646,"QMB6930, Special Topics in Information Systems and Operations Management"
1647,"QMB6938, Analytics Processes for Business – Bootcamp"
1648,"QMB6942, Analytics Projects Practicum 1"
1649,"QMB7565, Stat Research Methods"
1650,"QMB7933, Seminar in Information Systems and Operations Management"
1651,"QMB7979, Advanced Research"
1652,"BUL4310, The Legal Environment of Business"
1653,"BUL4443, Ethics in Global Business"
1654,"BUL5811, Law, Ethics, and Organizations"
1655,"BUL5832, Commercial Law for Accountants"
1656,"BUL6516, Law of Real Estate Transactions"
1657,"BUL6841, Employment Law"
1658,"BUL6852, International Business Law"
1659,"BUL6930, Special Topics"
1660,"ENT3003, Principles of Entrepreneurship"
1661,"ENT3503, Introduction to Social Entrepreneurship"
1662,"ENT4015, The Venture Accelerator"
1663,"ENT4614, Creativity and Innovation in the Business Environment"
1664,"ENT4934, Special Topics"
1665,"ENT4940, Entrepreneurship Practicum"
1666,"ENT6006, Entrepreneurship"
1667,"ENT6008, Entrepreneurial Opportunity"
1668,"ENT6416, Venture Finance"
1669,"ENT6506, Social Entrepreneurship"
1670,"ENT6616, Creativity in Entrepreneurship"
1671,"ENT6930, Special Topics"
1672,"ENT6946, Entrepreneurial Consulting Project"
1673,"ENT7932, Entrepreneurship"
1674,"GEB5114, Entrepreneurship and Venture Finance"
1675,"GEB6366, Fundamentals of International Business"
1676,"MAN3025, Principles of Management"
1677,"MAN3240, Organizations: Structure and Behavior"
1678,"MAN4301, Human Resource Management"
1679,"MAN4723, Strategic Management"
1680,"MAN4930, Special Topics"
1681,"MAN5245, Organizational Behavior"
1682,"MAN5246, Organizational Behavior"
1683,"MAN6149, Developing Leadership Skills"
1684,"MAN6331, Compensation in Organizations"
1685,"MAN6366, Organizational Staffing"
1686,"MAN6446, Negotiations"
1687,"MAN6447, Art and Science of Negotiation"
1688,"MAN6635, International Aspects of Human Resource Management"
1689,"MAN6636, Global Strategic Management"
1690,"MAN6637, Global Strategic Management"
1691,"MAN6721, Business Policy"
1692,"MAN6724, Strategic Management"
1693,"MAN6900, Capstone Project"
1694,"MAN6930, Special Topics"
1695,"MAN7108, Seminar in Research Concepts and Methods in Management"
1696,"MAN7208, Seminar in Contemporary Approaches to Organizations"
1697,"MAN7249, Org Behavior"
1698,"MAN7267, Seminar on Groups and Teams Research"
1699,"MAN7288, Leading Change"
1700,"MAN7778, Seminar in Strategic Adaptation to Environment"
1701,"MAN7934, Org Res Methods Sem"
1702,"MAN7935, Strategic Management"
1703,"MAN7979, Advanced Research"
1704,"MAR2290, Retail Management Seminar"
1705,"MAR2401, Sales Seminar"
1706,"MAR2951, Special Topics"
1707,"MAR3023, Principles of Marketing"
1708,"MAR3231, Introduction to Retailing Systems and Management"
1709,"MAR3400, Professional Selling"
1710,"MAR3503, Consumer Behavior"
1711,"MAR4403, Sales Management"
1712,"MAR4803, Marketing Management"
1713,"MAR4905, Independent Study"
1714,"MAR4933, Special Topics"
1715,"MAR5805, Problems and Methods in Marketing Management"
1716,"MAR5806, Problems and Methods in Marketing Management"
1717,"MAR6157, International Marketing"
1718,"MAR6158, International Marketing"
1719,"MAR6237, The Art and Science of Pricing"
1720,"MAR6256, Strategy and Tactics of Pricing"
1721,"MAR6335, Building and Managing Brand Equity"
1722,"MAR6479, Professional Selling"
1723,"MAR6507, Customer Insights and Analysis"
1724,"MAR6508, Customer Analysis"
1725,"MAR6590, Managerial and Consumer Decision Making"
1726,"MAR6591, Consumer and Managerial Decision-Making"
1727,"MAR6667, Marketing Analytics Methods"
1728,"MAR6668, Marketing Analytics 1"
1729,"MAR6722, Web-Based Marketing"
1730,"MAR6818, Advanced Marketing Management"
1731,"MAR6833, Product Development and Management"
1732,"MAR6838, Brand Management"
1733,"MAR6839, Product Development and Management"
1734,"MAR6861, Customer Relationship Management"
1735,"MAR6862, Customer Relationship Management"
1736,"MAR6930, Special Topics in Marketing"
1737,"MAR7507, Perspectives on Consumer Behavior"
1738,"MAR7588, Consumer Information Processing and Decision Making"
1739,"MAR7626, Multivariate Statistical Methods in Marketing"
1740,"MAR7628, Quant Data Analysis"
1741,"MAR7636, Research Methods in Marketing"
1742,"MAR7666, Marketing Decision Models"
1743,"MAR7931, Marketing Strategy"
1744,"INR6708, Foundations of Economics for Sustainable Development"
1745,"LAS2001, Introduction to Latin American Studies"
1746,"LAS3930, Special Topics in Latin American Studies"
1747,"LAS4935, Latin American Area Seminar"
1748,"LAS6046, Development Administration"
1749,"LAS6047, Conservation and Development Practicum"
1750,"LAS6049, Design and Methods for Sustainable Development Practice"
1751,"LAS6220, Issues and Perspectives in Latin American Studies"
1752,"LAS6290, Tropical Conservation and Development"
1753,"LAS6291, Conservation and Development Skills"
1754,"LAS6292, Tropical Conservation and Development Research Methods"
1755,"LAS6293, Design and Methods of Research in Latin American Studies"
1756,"LAS6295, Latin American Business Environment"
1757,"LAS6905, Individual Work"
1758,"LAS6938, Seminar in Modern Latin American Studies"
1759,"LAS6943, Development Theory and Practice in Latin America"
1760,"IDS1161, What is the Good Life"
1761,"IDS2154, Facets of Sustainability"
1762,"IDS2338, Democratic Engagement and Public Leadership"
1763,"IDS2935, Special Topics"
1764,"IDS4930, Special Topics in Interdisciplinary Studies"
1765,"IDS4940, Internship"
1766,"IDS4942, Sustainability in Action"
1767,"INS3004, International Studies Perspectives"
1768,"INS4911, Undergraduate Research in International Studies"
1769,"INS4930, Senior Research Seminar in International Studies"
1770,"SLS1006, Global Pathways: Prep for Intl"
1771,"SLS1409, Professional Pathways in the Liberal Arts and Sciences"
1772,"BCN1001, Introduction to Construction Management"
1773,"BCN1210, Construction Materials"
1774,"BCN1251C, Construction Drawing"
1775,"BCN1582, International Sustainable Development"
1776,"BCN2405C, Construction Mechanics"
1777,"BCN3012, History of Construction"
1778,"BCN3027C, Principles of Construction Management"
1779,"BCN3223C, Soils and Concrete"
1780,"BCN3224C, Construction Techniques"
1781,"BCN3240C, Equipment and Methods for Heavy/Highway Construction"
1782,"BCN3255C, Graphic Communication in Construction"
1783,"BCN3281C, Construction Methods Laboratory"
1784,"BCN3431C, Structures"
1785,"BCN3521C, Electrical Systems"
1786,"BCN3611C, Construction Estimating 1"
1787,"BCN3700, Construction Contracts"
1788,"BCN3730, Construction, Safety, Health and the Environment"
1789,"BCN4105, Sustainable Housing: Putting the 3 E's into Residential Practice"
1790,"BCN4237, Roofing Systems"
1791,"BCN4252, Introduction to Building Information Modeling"
1792,"BCN4423C, Temporary Structures"
1793,"BCN4510C, Mechanical Systems"
1794,"BCN4612C, Construction Estimating 2"
1795,"BCN4709C, Construction Project Management"
1796,"BCN4720, Construction Planning and Control"
1797,"BCN4753, Construction Finance"
1798,"BCN4787C, Construction Capstone Project"
1799,"BCN4880, Management of Heavy/Highway Construction"
1800,"BCN4905, Special Studies in Construction"
1801,"BCN5470, Construction Methods Improvements"
1802,"BCN5618C, Comprehensive Estimating"
1803,"BCN5705C, Project Management for Construction"
1804,"BCN5722, Advanced Construction Planning and Control"
1805,"BCN5729, Design-Build Delivery Methods"
1806,"BCN5737, Advanced Issues in Construction Safety and Health"
1807,"BCN5789C, Construction Project Delivery"
1808,"BCN5905, Special Studies in Construction"
1809,"BCN6036, Research Methods in Construction"
1810,"BCN6580, High-Performance Green Building Delivery Systems"
1811,"BCN6583, Sustainable Housing"
1812,"BCN6584C, Building Energy Modeling"
1813,"BCN6585, Sustainable Construction"
1814,"BCN6586, Construction Ecology and Metabolism"
1815,"BCN6641, Construction Value Engineering"
1816,"BCN6748, Construction Law"
1817,"BCN6785, Construction Information Systems"
1818,"BCN6933, Advanced Construction Management"
